Brand,Model,Slug,Track Size
"Bobcat","E32C","bobcat-e32c","300x52.5x80"
"Bobcat","E34","bobcat-e34","300x52.5x80"
"Bobcat","E35","bobcat-e35","300x52.5x84"
"Bobcat","E35I","bobcat-e35i","300x52.5x84"
"Bobcat","E35I","bobcat-e35i","300x55x81"
"Bobcat","E35M","bobcat-e35m","300x52.5x84"
"Bobcat","E35Z","bobcat-e35z","300x52.5x84"
"Bobcat","E41","bobcat-e41","350x55x88"
"Bobcat","E41","bobcat-e41","300x52.5x92"
"Bobcat","E42","bobcat-e42","350x55x88"
"Bobcat","E42","bobcat-e42","300x52.5x92"
"Bobcat","E45","bobcat-e45","400x72.5x74"
"Bobcat","E50","bobcat-e50","400x72.5x74"
"Bobcat","E55","bobcat-e55","400x72.5x74"
"Bobcat","E60","bobcat-e60","400x72.5x76"
"Bobcat","E62","bobcat-e62","400x72.5x76"
"Bobcat","E63","bobcat-e63","400x72.5x76"
"Bobcat","E80","bobcat-e80","450x81x76"
"Bobcat","E85","bobcat-e85","450x81x76"
"Bobcat","MT100","bobcat-mt100","250x72x45"
"Bobcat","MT100","bobcat-mt100","230x72x45"
"Bobcat","MT100","bobcat-mt100","180x72x45"
"Bobcat","MT120","bobcat-mt120","180x72x45"
