Track Size,Machine Count,Sample Machines (first 5)
"250x107x38","2","Airman AX20-3; Airman AX20UR"
"300x109x42","2","Airman HM35; Hitachi UE35"
"300x54x82","2","American Direction Drill DD4; SMC MX35"
"250x72x56","2","Astec Mini-Excavator; Wacker Neuson TD15"
"320x52.5x74","2","Bobcat 328; Bobcat 328G"
"300x55x71","2","Bobcat X225; FAI 230"
"250x72x39","2","CASE TF300; CASE TF300RT"
"320x52.5x82","2","Cormidi 34.200Auto; Cormidi 34.200Dum"
"300x52.52x84","2","Daewoo Solar035; Daewoo Solar035Plus"
"450x81x74","2","Daewoo Solar70-III; Daewoo Solar75V"
"300x109x44","2","Ditch-Witch JT2321; Ditch-Witch JT860"
"320x52.5x92","2","Ditch-Witch JT2520; Ditch-Witch JT2720"
"230x72x40","2","Ditch-Witch SK600; Wacker Neuson RK15"
