Make,Model,Track Sizes (Base),Track Sizes (Display),Track Sizes (Canonical w/ N/W)
Almac,BIBI-870BL,250x72x57,250x72x57,250x72x57
Almac,"BIEASY1,5",230x72x43,230x72x43,230x72x43
Almac,MULTI-LOADER 2.5,250x72x64,250x72x64,250x72x64
Amerequip Eagle,TRAX40,230x96x39;250x48x78,230x96x39;250x48x78,230x96x39;250x48x78
American Direction Drill,DD10,230x72x56,230x72x56,230x72x56
American Direction Drill,DD2,230x72x56,230x72x56,230x72x56
American Direction Drill,DD3,320x52.5x88;300x52.5x88,320x52.5x88 (Narrow);300x52.5x88 (Narrow),320x52.5x88(N);300x52.5x88(N)
American Direction Drill,DD4,300x54x82;300x52.5x84,300x54x82;300x52.5x84 (Narrow),300x54x82;300x52.5x84(N)
American Direction Drill,DD6,400x73x74;400x72.5x74,400x73x74;400x72.5x74,400x73x74;400x72.5x74
American Direction Drill,DD8,400x73x74;400x72.5x74,400x73x74;400x72.5x74,400x73x74;400x72.5x74
Ammann,AMX 65,400x72.5x76,400x72.5x76,400x72.5x76
Ammann,AMX85ZT,450x76x82,450x76x82,450x76x82
Andreoli,UT60EVO,230x78x42,230x78x42,230x78x42
Angel,WY1.3,230x72x43,230x72x43,230x72x43
Angel,WY2.5,300x55x76;300x52.5x78,300x55x76 (Narrow);300x52.5x78 (Narrow),300x55x76(N);300x52.5x78(N)
Angel,WY3.5,300x55x82;300x52.5x84,300x55x82;300x52.5x84,300x55x82;300x52.5x84
Antec,A12B,230x72x43,230x72x43,230x72x43
Antec,A14sa,230x72x43,230x72x43,230x72x43
Antec,HCC1051D,180x72x37,180x72x37,180x72x37
Apageo,450 (H.D Drilling Machine),250x72x52,250x72x52,250x72x52
Apageo,580 (H.D Drilling Machine),250x72x52,250x72x52,250x72x52
Apageo,LWC100 ( Drilling Machine),250x72x57,250x72x57,250x72x57
Aros China,1.5,230x72x43,230x72x43,230x72x43
Astec,Mini-Excavator,250x72x56;300x52.5x92,250x72x56;300x52.5x92 (Narrow),250x72x56;300x52.5x92(N)
Atex,XC750D,200x72x38;180x72x38,200x72x38;180x72x38,200x72x38;180x72x38
Atex,XG450M,200x72x39,200x72x39,200x72x39
Athena,1090 (Lifting Platform),250x72x64,250x72x64,250x72x64
Atlas,100,200x72x41,200x72x41,200x72x41
Atlas,100B,200x72x41,200x72x41,200x72x41
Atlas,100CT,200x72x41,200x72x41,200x72x41
Atlas,110,200x72x41,200x72x41,200x72x41
Atlas,1104,200x72x41,200x72x41,200x72x41
Atlas,120,230x72x43,230x72x43,230x72x43
Atlas,120AB,230x72x42,230x72x42,230x72x42
Atlas,120RF,230x72x43,230x72x43,230x72x43
Atlas,404,230x72x43,230x72x43,230x72x43
Atlas,404R,230x72x43,230x72x43,230x72x43
Atlas,604,250x72x57,250x72x57,250x72x57
Atlas,604.2,300x109x39;300x52.5x80,300x109x39;300x52.5x80 (Narrow),300x109x39;300x52.5x80(N)
Atlas,604.2 (96),300x109x39;300x52.5x80,300x109x39;300x52.5x80,300x109x39;300x52.5x80
Atlas,604R,250x72x57,250x72x57,250x72x57
Atlas,605R,400x72.5x72,400x72.5x72,400x72.5x72
Atlas,805R,450x71x86,450x71x86,450x71x86
Atlas,AM29R,300x55x72;300x52.5x74,300x55x72;300x52.5x74 (Narrow),300x55x72;300x52.5x74(N)
Atlas,AM37R,300x52.5x86,300x52.5x86 (Narrow),300x52.5x86(N)
Atlas,AP604,230x72x43;320x100x41,230x72x43;320x100x41,230x72x43;320x100x41
Atlas,AR100,230x72x42,230x72x42,230x72x42
